type,title,rating,ratinglevel,ratingdescription,release_year,user_rating_score,user_rating_size
TVshow,That '70s Show,TV-14,Parents strongly cautioned. May be unsuitable for children ages 14 and under.,90,2005,89,80
TVshow,Gilmore Girls,TV-14,Parents strongly cautioned. May be unsuitable for children ages 14 and under.,90,2006,91,80
TVshow,Parenthood,TV-14,Parents strongly cautioned. May be unsuitable for children ages 14 and under.,90,2014,79,80
TVshow,Heartland,TV-PG,Parental guidance suggested. May not be suitable for all children.,70,2015,85,80
TVshow,Pretty Little Liars,TV-14,Parents strongly cautioned. May be unsuitable for children ages 14 and under.,90,2016,96,80
TVshow,Shameless (U.S.),TV-MA,For mature audiences.  May not be suitable for children 17 and under.,110,2016,97,80
TVshow,Switched at Birth,TV-14,Parents strongly cautioned. May be unsuitable for children ages 14 and under.,90,2015,83,80
TVshow,New Girl,TV-14,Parents strongly cautioned. May be unsuitable for children ages 14 and under.,90,2016,91,80
TVshow,Hart of Dixie,TV-PG,Parental guidance suggested. May not be suitable for all children.,70,2014,81,80
TVshow,The Client List,TV-14,Parents strongly cautioned. May be unsuitable for children ages 14 and under.,90,2013,92,80
TVshow,The Carrie Diaries,TV-14,Parents strongly cautioned. May be unsuitable for children ages 14 and under.,90,2013,,82
TVshow,Safe Haven,PG-13,"thematic material involving threatening behavior, and for violence and sexuality",80,2013,62,80
TVshow,Baby Daddy,TV-14,Parents strongly cautioned. May be unsuitable for children ages 14 and under.,90,2016,80,80
TVshow,The Night Shift,TV-14,Parents strongly cautioned. May be unsuitable for children ages 14 and under.,90,2015,93,80
TVshow,Reign,TV-14,Parents strongly cautioned. May be unsuitable for children ages 14 and under.,90,2015,79,80
TVshow,Grace and Frankie,TV-MA,For mature audiences.  May not be suitable for children 17 and under.,110,2017,90,80
TVshow,How to Get Away with Murder,TV-14,Parents strongly cautioned. May be unsuitable for children ages 14 and under.,90,2016,95,80
TVshow,Fuller House,TV-G,Suitable for all ages.,35,2016,90,80
TVshow,Finding Dory,PG,mild thematic elements,60,2016,98,80
TVshow,Gilmore Girls: A Year in the Life,TV-14,Parents strongly cautioned. May be unsuitable for children ages 14 and under.,90,2016,77,80
